timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:43:37.803,8,-161,1015,915,-1831,-1831
2025-10-11 16:43:37.804,6,-168,1016,1281,-1464,-1464
2025-10-11 16:43:37.851,12,-164,1022,1525,-1403,-1403
2025-10-11 16:43:37.852,13,-156,1015,915,-915,-1647
2025-10-11 16:43:37.853,10,-157,1015,-244,-1098,-1708
2025-10-11 16:43:37.902,11,-164,1017,122,-1342,-1342
2025-10-11 16:43:37.903,13,-170,1022,732,-1220,-1770
2025-10-11 16:43:37.961,14,-168,1024,976,-854,-2319
2025-10-11 16:43:37.961,15,-162,1018,0,-122,-1220
2025-10-11 16:43:37.961,16,-163,1015,-1342,854,-1098
2025-10-11 16:43:38.003,13,-174,1015,-1525,915,-854
2025-10-11 16:43:38.003,10,-176,1012,-915,183,-1037
2025-10-11 16:43:38.046,13,-162,1011,-1037,-305,-1647
2025-10-11 16:43:38.046,11,-168,1008,-488,-488,-2014
2025-10-11 16:43:38.047,3,-167,1007,122,-305,-1403
2025-10-11 16:43:38.094,4,-163,1009,-366,-244,-1342
2025-10-11 16:43:38.095,4,-167,1011,-366,-183,-1464
2025-10-11 16:43:38.143,7,-175,1013,1281,-549,-1586
2025-10-11 16:43:38.143,9,-163,1005,1159,-122,-1708
2025-10-11 16:43:38.191,9,-177,1003,671,-244,-1464
2025-10-11 16:43:38.192,5,-178,1003,1037,-793,-671
2025-10-11 16:43:38.193,8,-177,1007,1159,-1098,-61
2025-10-11 16:43:38.242,12,-171,1007,549,-488,671
2025-10-11 16:43:38.243,10,-168,1009,-488,-122,610
2025-10-11 16:43:38.292,5,-179,1010,183,-610,732
2025-10-11 16:43:38.292,5,-175,1011,1647,-1464,366
2025-10-11 16:43:38.292,11,-161,1014,854,-1403,854
2025-10-11 16:43:38.338,17,-171,1015,-122,-732,732
2025-10-11 16:43:38.339,13,-171,1021,-61,-305,1281
2025-10-11 16:43:38.386,15,-161,1017,-183,-488,1525
2025-10-11 16:43:38.387,14,-162,1015,-366,0,1037
2025-10-11 16:43:38.388,14,-160,1014,-305,-366,793
2025-10-11 16:43:38.435,21,-164,1014,671,0,1220
2025-10-11 16:43:38.436,22,-152,1014,549,366,1342
2025-10-11 16:43:38.484,17,-149,1013,-366,732,1403
2025-10-11 16:43:38.485,17,-157,1015,427,-61,732
2025-10-11 16:43:38.537,20,-145,1010,1647,-549,-61
2025-10-11 16:43:38.537,11,-139,1021,1098,-1586,-671
2025-10-11 16:43:38.537,26,-143,1021,1281,-366,-1037
2025-10-11 16:43:38.582,24,-152,1026,793,549,-1281
2025-10-11 16:43:38.583,24,-170,1023,1586,0,-1342
2025-10-11 16:43:38.630,23,-163,1025,2136,-915,-1464
2025-10-11 16:43:38.631,25,-154,1035,1037,-1403,-2014
2025-10-11 16:43:38.632,20,-160,1043,122,-1342,-2685
2025-10-11 16:43:38.680,16,-168,1049,671,-1220,-2624
2025-10-11 16:43:38.680,11,-164,1047,183,-976,-2807
2025-10-11 16:43:38.728,8,-163,1043,915,-610,-2319
2025-10-11 16:43:38.728,6,-158,1033,2441,-427,-2136
2025-10-11 16:43:38.729,1,-152,1035,5065,-976,-3234
2025-10-11 16:43:38.776,-14,-102,1025,3845,-610,-2441
2025-10-11 16:43:38.777,4,-104,1011,4516,2319,-3112
2025-10-11 16:43:38.827,1,-98,1008,5737,4333,-4760
2025-10-11 16:43:38.827,-2,-100,1004,4882,3479,-6225
2025-10-11 16:43:38.827,11,-129,1002,5676,2197,-7690
2025-10-11 16:43:38.876,19,-148,998,6286,2319,-9033
2025-10-11 16:43:38.876,11,-171,992,5065,3173,-7995
2025-10-11 16:43:38.972,0,-186,995,3967,3234,-6286
2025-10-11 16:43:38.972,17,-192,996,4760,3906,-3662
2025-10-11 16:43:38.973,32,-173,994,4455,5249,-1525
2025-10-11 16:43:38.974,13,-132,992,1586,5004,-305
2025-10-11 16:43:39.021,-2,-133,991,2136,4150,305
2025-10-11 16:43:39.021,13,-114,994,6591,4272,-1037
2025-10-11 16:43:39.022,21,-110,1000,8361,3601,-4577
2025-10-11 16:43:39.069,38,-117,1007,6225,1464,-6530
2025-10-11 16:43:39.070,31,-146,1014,3051,122,-5798
2025-10-11 16:43:39.071,24,-149,1018,549,427,-3540
2025-10-11 16:43:39.120,13,-172,1021,1281,2624,-1464
2025-10-11 16:43:39.120,6,-158,1018,3173,4272,-1586
2025-10-11 16:43:39.167,0,-157,1008,1159,2746,-2258
2025-10-11 16:43:39.168,-9,-161,1009,-610,305,-1037
2025-10-11 16:43:39.168,-1,-141,1012,-2990,244,1708
2025-10-11 16:43:39.215,3,-145,1026,-3662,2746,3051
2025-10-11 16:43:39.216,0,-139,1016,-3112,5554,1770
2025-10-11 16:43:39.265,-20,-149,997,-2014,5859,488
2025-10-11 16:43:39.265,-26,-152,981,-2441,2990,671
2025-10-11 16:43:39.266,-19,-153,977,-3112,854,793
2025-10-11 16:43:39.313,-11,-149,989,-4394,0,793
2025-10-11 16:43:39.313,0,-139,993,-6103,915,1220
2025-10-11 16:43:39.362,-5,-145,994,-7812,1586,1464
2025-10-11 16:43:39.363,-5,-170,989,-4089,366,1159
2025-10-11 16:43:39.412,-7,-157,990,-915,-1342,1159
2025-10-11 16:43:39.412,-15,-144,994,61,-2868,1586
2025-10-11 16:43:39.412,-10,-143,998,488,-2563,1770
2025-10-11 16:43:39.460,-15,-134,1000,-610,-1892,2014
2025-10-11 16:43:39.460,-23,-145,1009,-549,-2502,1892
2025-10-11 16:43:39.508,-30,-144,1019,1708,-4028,1708
2025-10-11 16:43:39.508,-32,-131,1032,2746,-5615,1037
2025-10-11 16:43:39.509,-22,-124,1031,3723,-5126,488
2025-10-11 16:43:39.556,-14,-116,1026,2136,-2075,488
2025-10-11 16:43:39.557,-19,-130,1024,1586,-3112,-366
2025-10-11 16:43:39.606,-6,-139,1017,3723,-3479,-1159
2025-10-11 16:43:39.606,-1,-136,1016,4516,-3540,-1281
2025-10-11 16:43:39.607,5,-138,1015,3723,-3234,-793
2025-10-11 16:43:39.654,14,-142,1014,4394,-1953,-305
2025-10-11 16:43:39.655,15,-127,1010,3601,-244,-183
2025-10-11 16:43:39.712,8,-133,1013,1586,-244,549
2025-10-11 16:43:39.712,1,-141,1019,610,-732,549
2025-10-11 16:43:39.712,8,-146,1023,793,-1953,15441
