timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:36:27.381,-16,-73,1028,2258,-2441,244
2025-10-11 16:36:27.384,-13,-68,1028,976,-915,854
2025-10-11 16:36:27.430,-20,-71,1029,244,61,671
2025-10-11 16:36:27.430,-23,-71,1025,-183,-854,-305
2025-10-11 16:36:27.431,-14,-76,1018,915,-915,-671
2025-10-11 16:36:27.527,-17,-84,1024,3356,-244,-1892
2025-10-11 16:36:27.528,-15,-67,1026,2685,183,-3173
2025-10-11 16:36:27.528,-21,-53,1023,-427,-61,-3417
2025-10-11 16:36:27.529,-26,-72,1023,-2014,-2319,-1831
2025-10-11 16:36:27.608,-5,-92,1024,-122,-2441,-2380
2025-10-11 16:36:27.608,-8,-84,1020,-976,-2136,-2502
2025-10-11 16:36:27.608,-9,-110,1020,-671,-2197,-2258
2025-10-11 16:36:27.630,-7,-92,1017,61,-1953,-732
2025-10-11 16:36:27.630,-10,-82,1020,-1159,-2075,-183
2025-10-11 16:36:27.630,-13,-85,1030,-671,-2258,-732
2025-10-11 16:36:27.673,-9,-76,1027,244,-2014,-1586
2025-10-11 16:36:27.674,-13,-74,1026,-610,-793,-671
2025-10-11 16:36:27.722,-16,-81,1028,-1647,-122,-671
2025-10-11 16:36:27.722,-13,-88,1011,-488,671,-1403
2025-10-11 16:36:27.723,-22,-92,987,-1220,305,-1647
2025-10-11 16:36:27.770,-23,-110,986,-915,-244,-1525
2025-10-11 16:36:27.771,-13,-105,985,-1342,915,-2624
2025-10-11 16:36:27.819,-20,-107,992,-3051,-183,-2258
2025-10-11 16:36:27.819,-13,-127,994,-3356,-1953,-2380
2025-10-11 16:36:27.867,-5,-121,998,-1464,-2685,-1831
2025-10-11 16:36:27.868,-15,-129,1007,732,-3356,-976
2025-10-11 16:36:27.869,-11,-127,1011,4760,-3967,-610
2025-10-11 16:36:27.923,-7,-109,1015,7812,-3906,305
2025-10-11 16:36:27.923,-4,-81,1020,6530,-4516,1037
2025-10-11 16:36:27.967,6,-62,1024,4272,-3967,915
2025-10-11 16:36:27.968,6,-42,1030,0,-2990,732
2025-10-11 16:36:27.968,5,-40,1031,-3601,-2685,-732
2025-10-11 16:36:28.014,1,-46,1035,-5249,-1525,-1708
2025-10-11 16:36:28.014,-11,-73,1041,-4943,-793,-2868
2025-10-11 16:36:28.062,-15,-100,1047,-3112,-1953,-3723
2025-10-11 16:36:28.063,-7,-121,1051,-610,-3356,-3479
2025-10-11 16:36:28.064,4,-125,1059,1708,-3540,-2624
2025-10-11 16:36:28.111,12,-109,1063,610,-2075,-1892
2025-10-11 16:36:28.112,12,-111,1056,-2624,488,-122
2025-10-11 16:36:28.186,0,-133,1051,-366,671,0
2025-10-11 16:36:28.186,0,-117,1041,2319,-122,793
2025-10-11 16:36:28.210,1,-93,1033,1525,-244,732
2025-10-11 16:36:28.210,9,-80,1023,122,427,1281
2025-10-11 16:36:28.213,0,-83,1019,122,1281,549
2025-10-11 16:36:28.259,-1,-87,1013,610,793,-122
2025-10-11 16:36:28.259,1,-99,1012,1708,305,-244
2025-10-11 16:36:28.306,-3,-89,1011,2136,-549,-427
