timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 15:55:32.588,-134,106,1022,2380,671,549
2025-10-11 15:55:32.591,-135,111,1025,2807,183,915
2025-10-11 15:55:32.592,-126,107,1026,4272,-61,244
2025-10-11 15:55:32.636,-130,122,1023,3967,-61,-61
2025-10-11 15:55:32.636,-131,120,1025,2807,-366,-183
2025-10-11 15:55:32.685,-119,121,1021,2441,305,-305
2025-10-11 15:55:32.686,-120,118,1022,1892,854,-183
2025-10-11 15:55:32.734,-124,112,1024,3479,793,-610
2025-10-11 15:55:32.735,-125,119,1014,4028,1586,-732
2025-10-11 15:55:32.735,-126,128,1012,2441,1770,0
2025-10-11 15:55:32.809,-126,119,1012,2136,1647,-610
2025-10-11 15:55:32.809,-128,126,1006,2197,671,-1098
2025-10-11 15:55:32.836,-131,108,1004,1586,-671,-1342
2025-10-11 15:55:32.836,-112,113,1007,671,-1098,-732
2025-10-11 15:55:32.836,-110,112,1015,-915,-1037,-793
2025-10-11 15:55:32.880,-115,107,1017,-2075,-793,-61
2025-10-11 15:55:32.880,-115,114,1017,-671,-183,305
2025-10-11 15:55:32.928,-108,125,1013,305,549,244
2025-10-11 15:55:32.928,-115,135,996,610,1342,-244
2025-10-11 15:55:32.929,-139,142,975,-915,2136,-549
2025-10-11 15:55:32.977,-135,135,968,-2807,2197,-915
2025-10-11 15:55:32.977,-133,129,960,-4882,2014,-732
2025-10-11 15:55:33.025,-139,123,959,-8483,2197,-732
2025-10-11 15:55:33.026,-152,107,974,-9765,1037,61
2025-10-11 15:55:33.026,-159,98,985,-6042,-427,671
2025-10-11 15:55:33.101,-165,114,987,-2685,-854,854
2025-10-11 15:55:33.101,-162,142,996,-3662,-732,-61
2025-10-11 15:55:33.127,-161,116,1009,-3906,-2563,-3051
2025-10-11 15:55:33.128,-158,67,1026,-3234,-3234,-3234
2025-10-11 15:55:33.172,-138,61,1035,-6042,-1770,-2441
2025-10-11 15:55:33.173,-131,34,1041,-8789,1525,-610
2025-10-11 15:55:33.174,-121,25,1042,-7873,3173,1037
2025-10-11 15:55:33.220,-113,22,1039,-4699,3845,3051
2025-10-11 15:55:33.220,-126,35,1038,-366,2746,4943
2025-10-11 15:55:33.269,-132,74,1031,2502,549,5676
2025-10-11 15:55:33.269,-129,89,1026,4150,-671,5310
2025-10-11 15:55:33.270,-109,94,1022,5493,-732,3845
2025-10-11 15:55:33.317,-108,101,1006,2563,854,3845
2025-10-11 15:55:33.318,-146,131,1011,-366,-244,4150
2025-10-11 15:55:33.391,-161,118,1005,1525,-1342,2929
2025-10-11 15:55:33.391,-152,90,1007,6469,-1525,854
2025-10-11 15:55:33.392,-132,93,1013,7019,-1892,-305
2025-10-11 15:55:33.418,-125,103,1024,1892,-1464,610
2025-10-11 15:55:33.418,-134,106,1039,-5187,-671,1525
2025-10-11 15:55:33.465,-134,95,1037,-6713,1220,1220
2025-10-11 15:55:33.465,-136,105,1029,-5371,3295,366
2025-10-11 15:55:33.513,-147,118,1011,-6042,4150,-1220
2025-10-11 15:55:33.514,-155,113,1003,-6713,1770,-2441
2025-10-11 15:55:33.514,-146,80,1002,-3540,1159,-3112
2025-10-11 15:55:33.562,-142,65,1014,915,732,-2929
2025-10-11 15:55:33.563,-137,66,1015,-122,366,-2746
2025-10-11 15:55:33.610,-127,65,1006,-6774,2380,-732
2025-10-11 15:55:33.610,-136,45,1015,-10375,3540,1586
2025-10-11 15:55:33.612,-139,28,1018,-2746,2319,2990
2025-10-11 15:55:33.682,-147,74,1006,5432,427,2990
2025-10-11 15:55:33.682,-157,118,999,6225,-1220,2441
2025-10-11 15:55:33.708,-157,134,1010,7446,-2136,2014
2025-10-11 15:55:33.709,-160,152,1008,6225,-2258,-61
2025-10-11 15:55:33.709,-164,151,1021,4089,-2685,-610
2025-10-11 15:55:33.757,-149,146,1028,4028,-2807,-2197
2025-10-11 15:55:33.757,-143,131,1027,3784,-1770,-3723
2025-10-11 15:55:33.806,-135,122,1028,2075,-427,-4516
2025-10-11 15:55:33.806,-130,103,1031,183,427,-4028
2025-10-11 15:55:33.807,-127,77,1031,671,915,-4211
2025-10-11 15:55:33.854,-123,80,1023,1281,1403,-2929
2025-10-11 15:55:33.854,-125,79,1016,1281,1953,-2502
2025-10-11 15:55:33.903,-123,86,1005,1403,3234,-1831
2025-10-11 15:55:33.903,-136,81,1003,3112,1770,-1708
2025-10-11 15:55:33.973,-133,94,994,2807,1464,-1647
2025-10-11 15:55:33.973,-132,103,995,488,2014,-1708
2025-10-11 15:55:33.973,-137,100,994,-915,1892,-1586
2025-10-11 15:55:34.000,-146,90,997,-183,1281,-2258
2025-10-11 15:55:34.000,-147,107,997,-1159,1098,-2380
2025-10-11 15:55:34.049,-153,95,1004,-3845,671,-3173
2025-10-11 15:55:34.050,-145,71,1006,-3723,976,-2624
2025-10-11 15:55:34.051,-145,60,1010,-2624,1708,-2563
2025-10-11 15:55:34.098,-153,47,1011,-2990,2197,-1037
2025-10-11 15:55:34.099,-147,41,1018,-915,1525,671
2025-10-11 15:55:34.146,-141,54,1008,-488,2502,549
2025-10-11 15:55:34.147,-151,52,1001,976,1892,1342
2025-10-11 15:55:34.147,-154,66,1000,1831,244,2502
2025-10-11 15:55:34.195,-150,94,1002,976,244,2868
2025-10-11 15:55:34.195,-151,99,1008,-1098,1159,2380
2025-10-11 15:55:34.263,-145,108,999,-2136,2136,2136
2025-10-11 15:55:34.263,-158,96,998,-3051,1647,1708
2025-10-11 15:55:34.263,-146,79,997,-2929,610,1159
2025-10-11 15:55:34.295,-145,85,993,-4272,915,1159
2025-10-11 15:55:34.295,-146,77,1002,-3662,793,1586
2025-10-11 15:55:34.342,-146,65,1006,-1403,854,1525
2025-10-11 15:55:34.344,-154,73,1001,244,488,2319
2025-10-11 15:55:34.390,-151,81,1004,2014,0,2868
2025-10-11 15:55:34.391,-151,103,1001,2380,-610,1892
2025-10-11 15:55:34.391,-151,108,1007,1281,-854,1770
2025-10-11 15:55:34.439,-154,93,1009,1647,-1586,671
2025-10-11 15:55:34.440,-154,101,1013,1586,-1098,1037
2025-10-11 15:55:34.488,-152,99,1016,854,-549,427
2025-10-11 15:55:34.488,-153,97,1018,549,-305,-61
2025-10-11 15:55:34.489,-156,90,1019,1220,-1220,-488
2025-10-11 15:55:34.553,-150,85,1021,1342,-1159,-244
2025-10-11 15:55:34.553,-147,85,1018,1525,122,122
2025-10-11 15:55:34.586,-154,95,1020,915,610,61
2025-10-11 15:55:34.586,-152,84,1014,244,61,-854
2025-10-11 15:55:34.587,-149,90,1004,-1342,-549,-854
2025-10-11 15:55:34.636,-150,68,1000,-3234,-61,-366
2025-10-11 15:55:34.637,-151,61,1014,-2502,-366,549
2025-10-11 15:55:34.683,-148,61,1017,-1586,-366,366
2025-10-11 15:55:34.683,-147,68,1019,-1098,427,549
2025-10-11 15:55:34.732,-144,72,1016,-1892,1403,671
2025-10-11 15:55:34.733,-152,80,1008,-2685,976,610
2025-10-11 15:55:34.733,-149,82,1002,-2319,305,427
2025-10-11 15:55:34.781,-154,87,998,-1892,488,854
2025-10-11 15:55:34.781,-154,81,1009,549,-122,854
2025-10-11 15:55:34.843,-155,91,1014,1953,-1586,671
2025-10-11 15:55:34.843,-149,88,1007,2380,-1220,183
2025-10-11 15:55:34.843,-155,88,1013,2258,-549,366
2025-10-11 15:55:34.880,-153,91,1015,2502,-1098,-183
2025-10-11 15:55:34.880,-150,92,1014,2746,-915,-427
2025-10-11 15:55:34.928,-151,90,1012,1220,-61,-183
2025-10-11 15:55:34.928,-149,78,1021,1464,-549,-549
2025-10-11 15:55:34.929,-150,87,1019,976,0,-366
2025-10-11 15:55:34.975,-150,78,1015,671,122,-854
2025-10-11 15:55:34.976,-147,81,1008,2319,427,-671
2025-10-11 15:55:35.024,-155,84,1003,1525,-183,-1037
2025-10-11 15:55:35.025,-147,74,1000,427,-427,-1037
2025-10-11 15:55:35.072,-148,74,1000,-183,-427,-244
2025-10-11 15:55:35.074,-147,62,1005,61,-915,-732
2025-10-11 15:55:35.074,-144,63,1003,366,-427,-915
2025-10-11 15:55:35.135,-151,60,1008,-1159,-793,183
2025-10-11 15:55:35.135,-153,38,1008,-61,-793,976
2025-10-11 15:55:35.171,-153,49,1011,1586,-732,2258
2025-10-11 15:55:35.171,-150,77,1004,854,305,2685
2025-10-11 15:55:35.182,-156,100,997,-1403,1098,2136
2025-10-11 15:55:35.219,-161,86,996,-1220,183,1708
2025-10-11 15:55:35.220,-155,91,995,671,-1159,1464
2025-10-11 15:55:35.268,-154,96,1001,305,-1831,732
2025-10-11 15:55:35.269,-154,85,1012,854,-2258,732
2025-10-11 15:55:35.270,-149,86,1011,2075,-1464,671
2025-10-11 15:55:35.316,-153,82,1014,3356,-1098,671
2025-10-11 15:55:35.317,-150,77,1029,4150,-2563,1098
2025-10-11 15:55:35.427,-139,88,1031,4089,-2380,854
2025-10-11 15:55:35.427,-144,90,1036,2197,-732,488
2025-10-11 15:55:35.427,-150,82,1038,1647,0,1281
2025-10-11 15:55:35.427,-147,83,1025,3356,1098,1464
2025-10-11 15:55:35.474,-152,98,1027,3784,610,915
2025-10-11 15:55:35.474,-146,93,1020,5004,-610,183
2025-10-11 15:55:35.474,-143,107,1018,4211,-732,183
2025-10-11 15:55:35.474,-140,102,1017,2563,-366,122
2025-10-11 15:55:35.513,-132,108,1018,2563,1281,488
2025-10-11 15:55:35.513,-144,121,1015,2075,1159,-305
2025-10-11 15:55:35.560,-143,118,1016,1586,915,-732
2025-10-11 15:55:35.561,-146,115,1015,1464,549,-1220
2025-10-11 15:55:35.609,-143,111,1012,1892,915,-1770
2025-10-11 15:55:35.610,-143,108,1010,1708,1159,-1708
2025-10-11 15:55:35.611,-141,105,1002,915,1464,-1892
2025-10-11 15:55:35.658,-145,100,992,183,1342,-1770
2025-10-11 15:55:35.658,-147,82,989,1403,549,-1892
2025-10-11 15:55:35.722,-149,95,993,2563,-305,-1403
2025-10-11 15:55:35.722,-153,91,996,2990,-1037,-1708
2025-10-11 15:55:35.722,-150,97,1000,3112,-915,-1342
2025-10-11 15:55:35.757,-145,99,995,2075,-183,-1770
2025-10-11 15:55:35.758,-151,94,997,1220,-183,-1647
2025-10-11 15:55:35.804,-149,85,996,1770,-976,-1281
2025-10-11 15:55:35.805,-147,91,995,2502,-1037,-1220
2025-10-11 15:55:35.853,-151,104,1000,2014,-1586,-549
2025-10-11 15:55:35.853,-148,109,1006,1708,-1342,-854
2025-10-11 15:55:35.854,-149,111,1008,732,-1220,-1342
2025-10-11 15:55:35.902,-147,100,1015,488,-1403,-1037
2025-10-11 15:55:35.902,-149,97,1020,549,-1892,-1281
2025-10-11 15:55:35.950,-141,99,1020,61,-427,-793
2025-10-11 15:55:35.951,-143,104,1019,427,244,-915
2025-10-11 15:55:35.951,-151,97,1017,1037,-183,-549
2025-10-11 15:55:36.010,-146,108,1012,2014,-305,-244
2025-10-11 15:55:36.010,-148,116,1016,2136,-305,244
2025-10-11 15:55:36.057,-141,119,1021,2990,-183,-427
2025-10-11 15:55:36.057,-143,125,1023,2624,366,-976
2025-10-11 15:55:36.057,-142,109,1022,976,610,-1037
2025-10-11 15:55:36.096,-140,109,1017,-61,1098,-915
2025-10-11 15:55:36.097,-147,96,1008,1464,1281,-183
2025-10-11 15:55:36.146,-158,104,995,5187,488,-122
2025-10-11 15:55:36.146,-155,118,990,7080,-427,-1159
2025-10-11 15:55:36.147,-151,118,990,6225,-1464,-2075
2025-10-11 15:55:36.194,-141,112,997,2685,-2441,-2441
2025-10-11 15:55:36.194,-137,99,1004,610,-1953,-1953
2025-10-11 15:55:36.243,-139,93,1010,244,-305,-2319
2025-10-11 15:55:36.244,-146,94,1014,-244,-122,-1464
2025-10-11 15:55:36.300,-150,85,1010,671,-671,-1281
2025-10-11 15:55:36.301,-149,104,1009,488,-427,-366
2025-10-11 15:55:36.301,-149,100,1010,183,-122,-183
2025-10-11 15:55:36.348,-144,105,1020,-305,-122,-122
2025-10-11 15:55:36.348,-140,111,1019,-854,1159,61
2025-10-11 15:55:36.389,-146,107,1020,-1220,1220,244
2025-10-11 15:55:36.389,-146,106,1016,244,1220,549
2025-10-11 15:55:36.390,-148,114,1012,671,732,366
2025-10-11 15:55:36.438,-148,118,1014,915,-61,793
2025-10-11 15:55:36.438,-149,125,1011,1770,122,549
2025-10-11 15:55:36.487,-148,139,1009,1220,915,-732
2025-10-11 15:55:36.487,-151,129,1018,1037,-61,-1770
2025-10-11 15:55:36.488,-147,117,1013,1098,-732,-2685
2025-10-11 15:55:36.535,-138,108,1013,-427,244,-2319
2025-10-11 15:55:36.536,-143,95,1015,488,549,-1647
2025-10-11 15:55:36.590,-148,94,1009,1831,244,-1220
2025-10-11 15:55:36.591,-143,99,1008,2929,488,-183
2025-10-11 15:55:36.591,-147,106,1002,3234,793,-366
2025-10-11 15:55:36.637,-147,117,1003,3234,366,-122
2025-10-11 15:55:36.637,-148,122,1000,3234,-549,-549
2025-10-11 15:55:36.682,-142,133,997,1525,183,-793
2025-10-11 15:55:36.682,-146,122,1003,-488,1037,-1159
2025-10-11 15:55:36.733,-150,113,1009,-122,-244,-1281
2025-10-11 15:55:36.734,-149,109,1004,793,-488,-1586
2025-10-11 15:55:36.734,-151,115,1013,671,-122,-1464
2025-10-11 15:55:36.779,-149,107,1014,732,366,-1159
2025-10-11 15:55:36.780,-152,100,1014,1586,549,-732
2025-10-11 15:55:36.828,-162,90,1015,3295,122,305
2025-10-11 15:55:36.828,-161,75,1029,7019,-915,732
2025-10-11 15:55:36.829,-156,83,1043,10131,-976,1159
2025-10-11 15:55:36.880,-153,94,1044,9887,366,1586
2025-10-11 15:55:36.880,-156,120,1037,6774,2502,3173
2025-10-11 15:55:36.927,-160,113,1030,7080,3784,2929
2025-10-11 15:55:36.927,-153,158,1002,5371,3662,2014
2025-10-11 15:55:36.927,-166,158,990,1525,2807,1708
2025-10-11 15:55:36.974,-157,149,991,-183,2075,1464
2025-10-11 15:55:36.975,-152,145,991,671,2746,1464
2025-10-11 15:55:37.023,-163,136,994,1708,2319,732
2025-10-11 15:55:37.023,-155,134,986,3356,1708,976
2025-10-11 15:55:37.071,-158,142,979,3601,1708,1525
2025-10-11 15:55:37.072,-153,147,979,2136,2014,1647
2025-10-11 15:55:37.073,-151,153,978,366,2624,1220
2025-10-11 15:55:37.121,-161,150,980,-2502,1037,427
2025-10-11 15:55:37.121,-160,131,987,-1342,183,305
2025-10-11 15:55:37.220,-160,132,996,0,-549,244
2025-10-11 15:55:37.220,-159,136,1002,122,-366,488
2025-10-11 15:55:37.220,-152,132,1003,305,427,549
2025-10-11 15:55:37.220,-158,144,1000,183,1037,122
2025-10-11 15:55:37.267,-163,143,1003,-549,305,122
