timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:50:10.155,69,-164,1020,0,-976,671
2025-10-11 16:50:10.198,71,-164,1020,122,-915,-305
2025-10-11 16:50:10.198,74,-166,1018,366,-366,-427
2025-10-11 16:50:10.307,75,-168,1014,-427,-305,-854
2025-10-11 16:50:10.308,78,-181,1013,-183,122,-427
2025-10-11 16:50:10.308,71,-176,1016,427,122,-732
2025-10-11 16:50:10.308,72,-178,1016,1220,-244,-915
2025-10-11 16:50:10.359,80,-171,1007,1159,61,-1586
2025-10-11 16:50:10.359,75,-169,998,-549,183,-1281
2025-10-11 16:50:10.359,72,-192,999,1831,-549,-732
2025-10-11 16:50:10.359,69,-171,998,2929,-732,-1342
2025-10-11 16:50:10.394,70,-165,997,793,-183,-1586
2025-10-11 16:50:10.394,68,-184,998,366,-122,-2319
2025-10-11 16:50:10.441,67,-193,996,1464,-1098,-2441
2025-10-11 16:50:10.442,71,-190,997,671,-1098,-1953
2025-10-11 16:50:10.490,69,-188,1000,-1037,-427,-1464
2025-10-11 16:50:10.491,67,-203,1002,-793,-671,-1342
2025-10-11 16:50:10.491,69,-202,1004,366,-915,-366
2025-10-11 16:50:10.539,73,-188,1002,366,-427,0
2025-10-11 16:50:10.539,74,-190,1007,-61,-366,61
2025-10-11 16:50:10.587,74,-193,1009,244,-976,122
2025-10-11 16:50:10.588,84,-187,1007,1464,-793,61
2025-10-11 16:50:10.589,84,-179,1010,366,-488,-244
2025-10-11 16:50:10.645,83,-191,1012,-183,-1403,-732
2025-10-11 16:50:10.645,96,-191,1008,1647,-793,-61
2025-10-11 16:50:10.685,88,-176,1016,-122,305,427
2025-10-11 16:50:10.685,88,-186,1022,-732,0,-244
2025-10-11 16:50:10.734,78,-194,1025,1586,-1220,-1525
2025-10-11 16:50:10.734,81,-179,1022,3112,-2136,-2075
2025-10-11 16:50:10.735,87,-165,1022,1586,-427,-2075
2025-10-11 16:50:10.783,75,-178,1020,1525,244,-2624
2025-10-11 16:50:10.783,80,-187,1011,1403,732,-2441
2025-10-11 16:50:10.831,74,-192,1015,1159,915,-1831
2025-10-11 16:50:10.832,70,-197,1018,2258,244,-1770
2025-10-11 16:50:10.833,66,-186,1016,2563,427,-1037
2025-10-11 16:50:10.880,65,-165,1009,610,1647,-488
2025-10-11 16:50:10.881,64,-169,996,-732,2624,61
2025-10-11 16:50:10.936,58,-186,990,488,1831,305
2025-10-11 16:50:10.936,56,-183,992,3051,305,488
2025-10-11 16:50:10.936,62,-165,999,2197,183,1647
2025-10-11 16:50:10.981,67,-148,1008,1464,2319,2136
2025-10-11 16:50:10.981,60,-139,998,-2258,2990,671
2025-10-11 16:50:11.026,56,-171,984,-2563,1770,61
2025-10-11 16:50:11.027,56,-188,982,671,-488,-244
2025-10-11 16:50:11.028,63,-172,987,1586,-1159,183
2025-10-11 16:50:11.076,68,-171,993,305,427,1464
2025-10-11 16:50:11.076,77,-183,1002,-122,1342,1342
2025-10-11 16:50:11.124,89,-187,1003,-793,610,488
2025-10-11 16:50:11.125,96,-191,999,-1220,-976,915
2025-10-11 16:50:11.126,73,-198,1007,4333,-1037,793
2025-10-11 16:50:11.173,80,-163,994,5126,549,488
2025-10-11 16:50:11.174,86,-163,986,2075,1464,183
2025-10-11 16:50:11.224,78,-199,987,671,1403,488
2025-10-11 16:50:11.224,66,-182,979,-549,244,305
2025-10-11 16:50:11.270,67,-182,980,-2014,-671,976
2025-10-11 16:50:11.273,78,-189,988,305,-793,-549
2025-10-11 16:50:11.273,75,-187,997,3234,-1647,-1586
2025-10-11 16:50:11.319,72,-205,1006,8056,-3845,-2807
2025-10-11 16:50:11.319,84,-199,1014,13916,-4943,-2685
2025-10-11 16:50:11.368,93,-168,1022,11413,-4028,-2075
2025-10-11 16:50:11.369,110,-146,1037,4272,-2563,-1403
2025-10-11 16:50:11.370,102,-166,1050,915,-793,-793
2025-10-11 16:50:11.416,86,-165,1056,1586,-732,244
2025-10-11 16:50:11.417,83,-162,1047,3967,-610,-183
2025-10-11 16:50:11.465,83,-153,1033,6408,0,-122
2025-10-11 16:50:11.466,79,-145,1024,6286,0,-183
2025-10-11 16:50:11.522,82,-146,1022,4455,183,-366
2025-10-11 16:50:11.522,82,-140,1013,1770,793,-366
2025-10-11 16:50:11.522,74,-148,1007,0,1464,183
2025-10-11 16:50:11.563,66,-148,991,61,2624,427
2025-10-11 16:50:11.565,46,-137,967,-1525,1708,-549
2025-10-11 16:50:11.611,47,-151,964,-427,-488,-427
2025-10-11 16:50:11.612,55,-175,986,3845,-3906,-488
2025-10-11 16:50:11.613,68,-148,1009,7202,-4882,305
2025-10-11 16:50:11.660,79,-113,1031,3601,-2990,1220
2025-10-11 16:50:11.660,77,-114,1043,-305,-976,1342
2025-10-11 16:50:11.709,78,-128,1045,-1403,-610,854
2025-10-11 16:50:11.709,84,-139,1048,1098,-1220,183
2025-10-11 16:50:11.710,106,-142,1053,6408,-1831,-366
2025-10-11 16:50:11.787,114,-120,1062,8178,-2441,-61
2025-10-11 16:50:11.787,138,-128,1071,7690,-2136,122
2025-10-11 16:50:11.814,163,-133,1072,9826,-488,1831
2025-10-11 16:50:11.814,179,-150,1067,11230,610,4760
2025-10-11 16:50:11.814,208,-184,1036,14038,3173,8911
2025-10-11 16:50:11.856,204,-211,1015,18371,4028,16601
2025-10-11 16:50:11.857,217,-192,986,23437,2441,25329
2025-10-11 16:50:11.904,265,-174,995,27954,2868,30761
2025-10-11 16:50:11.905,263,-122,1010,-30685,1525,-31296
2025-10-11 16:50:11.906,295,-47,990,-31845,3051,-27939
2025-10-11 16:50:11.953,281,10,979,12939,6408,-25558
2025-10-11 16:50:11.953,236,-26,992,5920,5004,-24643
2025-10-11 16:50:12.001,218,-51,1003,7141,2685,-23422
2025-10-11 16:50:12.002,214,-73,1004,12695,793,-28244
2025-10-11 16:50:12.079,220,-83,995,17395,915,-30502
2025-10-11 16:50:12.079,218,-61,1013,16723,1098,-32150
2025-10-11 16:50:12.079,205,-16,1031,5737,-1647,32348
2025-10-11 16:50:12.106,186,-53,1054,-3112,-2258,-32578
2025-10-11 16:50:12.106,201,-104,1059,-3906,-1586,29663
2025-10-11 16:50:12.149,231,-113,1061,-1037,1953,26184
2025-10-11 16:50:12.150,244,-133,1068,1037,6774,21911
2025-10-11 16:50:12.150,205,-106,1057,-4089,7507,21789
2025-10-11 16:50:12.196,173,-108,1064,-12023,7873,21850
2025-10-11 16:50:12.197,165,-98,1049,-15808,9094,16479
2025-10-11 16:50:12.246,137,-105,1029,-13061,13061,13977
2025-10-11 16:50:12.247,93,-112,1020,-7751,14770,10314
2025-10-11 16:50:12.247,18,-75,1017,-6103,11779,6164
2025-10-11 16:50:12.294,-7,-12,999,-9033,6591,1220
2025-10-11 16:50:12.295,26,-42,982,-12145,6347,-8911
2025-10-11 16:50:12.370,8,-67,967,-8178,10437,-12268
2025-10-11 16:50:12.370,-30,-124,970,7751,8850,-13732
2025-10-11 16:50:12.397,-19,-88,960,14221,6591,-16967
2025-10-11 16:50:12.397,-24,-90,970,11840,6347,-17822
2025-10-11 16:50:12.397,-47,-151,1000,13854,4272,-16479
2025-10-11 16:50:12.441,-53,-147,1012,21179,-427,-13610
2025-10-11 16:50:12.442,-41,-98,994,22827,-4089,-10437
2025-10-11 16:50:12.489,-40,-66,1008,21057,-3967,-12756
2025-10-11 16:50:12.490,-49,-86,1045,23071,-4516,-16845
2025-10-11 16:50:12.490,-55,-67,1056,26977,-3967,-20080
2025-10-11 16:50:12.538,-71,7,1052,22583,-1953,-21484
2025-10-11 16:50:12.539,-98,56,1051,3662,-244,-22460
2025-10-11 16:50:12.587,-123,16,1059,-5493,793,-29174
2025-10-11 16:50:12.588,-121,-29,1066,-1953,3112,-31250
2025-10-11 16:50:12.588,-107,-46,1066,8483,8483,-30029
2025-10-11 16:50:12.662,-119,-60,1076,17761,11840,-26367
2025-10-11 16:50:12.662,-134,-84,1069,23864,12756,-25390
2025-10-11 16:50:12.689,-126,-93,1041,23864,13793,-31982
2025-10-11 16:50:12.689,-124,-62,1001,21667,16601,-32653
2025-10-11 16:50:12.734,-134,-56,977,20385,17517,-25817
2025-10-11 16:50:12.734,-156,-81,959,20446,13366,-22216
2025-10-11 16:50:12.735,-172,-2,913,14587,1403,-21972
2025-10-11 16:50:12.781,-187,119,836,5615,-4028,-26794
2025-10-11 16:50:12.782,-228,169,817,-1647,-12329,-29724
2025-10-11 16:50:12.830,-238,165,838,-793,-22827,-25695
2025-10-11 16:50:12.831,-249,159,914,9643,30685,-24169
2025-10-11 16:50:12.832,-218,194,978,17700,20920,-23742
2025-10-11 16:50:12.879,-171,211,1038,19897,19211,-19775
2025-10-11 16:50:12.880,-124,161,1072,18066,25620,-18432
2025-10-11 16:50:12.956,-112,101,1111,13061,-32653,-18493
2025-10-11 16:50:12.956,-80,34,1136,9582,-28320,-16052
2025-10-11 16:50:12.956,-22,6,1128,3051,-10925,-7019
2025-10-11 16:50:12.983,19,18,1095,-5004,4577,-305
2025-10-11 16:50:12.983,21,-7,1084,-6774,15258,5310
2025-10-11 16:50:13.026,23,21,1044,-6774,20263,7141
2025-10-11 16:50:13.027,17,68,993,-9399,23437,8850
2025-10-11 16:50:13.074,13,87,967,-11047,23437,10925
2025-10-11 16:50:13.075,15,99,960,-10559,20446,10925
2025-10-11 16:50:13.075,22,104,967,-9948,18005,10864
2025-10-11 16:50:13.123,23,85,992,-9521,15075,7080
2025-10-11 16:50:13.124,25,22,1010,-5981,10192,3051
2025-10-11 16:50:13.172,40,35,1008,-3295,5615,732
2025-10-11 16:50:13.173,22,35,1037,-6042,1403,-610
2025-10-11 16:50:13.173,22,18,1058,-4638,-3601,-1281
2025-10-11 16:50:13.253,42,31,1069,915,-5126,-305
2025-10-11 16:50:13.253,41,66,1073,3540,-3173,610
2025-10-11 16:50:13.272,31,85,1075,976,-1647,-2197
2025-10-11 16:50:13.272,27,51,1074,1464,-671,-5065
2025-10-11 16:50:13.272,21,18,1070,6530,-854,-7385
2025-10-11 16:50:13.326,30,21,1046,9094,0,-6469
2025-10-11 16:50:13.326,26,36,1032,4760,2624,-4455
2025-10-11 16:50:13.368,9,40,1014,-3112,3906,-1281
2025-10-11 16:50:13.369,-8,11,990,-1037,4211,-1098
2025-10-11 16:50:13.369,-14,40,982,366,1770,-1342
2025-10-11 16:50:13.416,-8,69,974,-732,854,732
2025-10-11 16:50:13.416,-17,66,983,-4089,793,1098
2025-10-11 16:50:13.464,-16,43,997,-4821,-305,488
2025-10-11 16:50:13.465,-16,32,1017,-2380,-1098,671
2025-10-11 16:50:13.513,-14,47,1032,-3784,-2502,488
2025-10-11 16:50:13.514,-9,28,1039,-3295,-2685,-183
2025-10-11 16:50:13.514,-2,45,1039,-915,-549,1831
2025-10-11 16:50:13.573,-5,52,1047,-4516,1953,3540
2025-10-11 16:50:13.573,2,27,1045,-3967,2563,3051
2025-10-11 16:50:13.613,8,26,1031,-1953,2624,2807
2025-10-11 16:50:13.613,9,32,1021,-1159,2197,1281
2025-10-11 16:50:13.614,14,41,1010,-793,2136,1953
2025-10-11 16:50:13.660,13,39,1011,-1647,1159,2441
2025-10-11 16:50:13.660,10,28,1017,-1586,-122,3051
2025-10-11 16:50:13.708,13,18,1017,-244,-1037,2136
2025-10-11 16:50:13.708,17,32,1020,-915,-1464,2258
2025-10-11 16:50:13.709,20,13,1032,-2197,-2258,1403
2025-10-11 16:50:13.757,19,14,1030,-2868,-1464,1525
2025-10-11 16:50:13.757,24,24,1025,-3540,1159,3417
2025-10-11 16:50:13.870,15,15,1032,-4638,2380,2685
2025-10-11 16:50:13.871,12,20,1032,-4333,2380,1403
2025-10-11 16:50:13.871,8,30,1027,-4516,1831,-183
2025-10-11 16:50:13.905,17,29,1019,-3601,2014,-488
2025-10-11 16:50:13.905,13,32,1018,-3173,3112,183
2025-10-11 16:50:13.905,7,2,1020,-2441,2868,-122
2025-10-11 16:50:13.906,5,-7,1021,-549,2380,-183
2025-10-11 16:50:13.952,9,2,1024,-2685,1708,976
2025-10-11 16:50:13.952,5,-25,1036,-3784,61,1159
2025-10-11 16:50:13.953,12,-33,1038,-1037,-183,1831
2025-10-11 16:50:14.000,17,-4,1034,-2685,1647,3723
2025-10-11 16:50:14.001,8,-3,1040,-5859,3784,5004
2025-10-11 16:50:14.050,2,-18,1049,-4638,3601,4394
2025-10-11 16:50:14.050,5,2,1042,-610,3417,3906
2025-10-11 16:50:14.051,2,32,1041,-61,2685,2136
2025-10-11 16:50:14.097,7,28,1028,-61,2441,915
2025-10-11 16:50:14.098,5,32,1026,-671,2868,427
