timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:23:30.586,-49,-38,1025,793,488,-671
2025-10-11 16:23:30.586,-47,-30,1021,732,1342,-366
2025-10-11 16:23:30.588,-53,-39,1025,0,915,-427
2025-10-11 16:23:30.632,-50,-48,1024,854,183,-549
2025-10-11 16:23:30.632,-49,-38,1019,1281,488,-854
2025-10-11 16:23:30.682,-53,-34,1021,244,549,-427
2025-10-11 16:23:30.682,-51,-44,1019,244,183,-366
2025-10-11 16:23:30.684,-49,-43,1018,1403,-244,-854
2025-10-11 16:23:30.729,-49,-34,1015,976,122,-244
2025-10-11 16:23:30.729,-52,-37,1020,549,-61,-366
2025-10-11 16:23:30.810,-46,-36,1020,854,244,-793
2025-10-11 16:23:30.810,-53,-40,1024,427,-305,-732
2025-10-11 16:23:30.810,-46,-41,1018,305,-427,-610
2025-10-11 16:23:30.841,-48,-41,1022,610,61,-366
2025-10-11 16:23:30.841,-47,-39,1019,854,488,-854
2025-10-11 16:23:30.884,-50,-35,1015,244,183,-610
2025-10-11 16:23:30.884,-50,-44,1014,488,-549,-61
2025-10-11 16:23:30.924,-49,-38,1021,2075,-1037,-915
2025-10-11 16:23:30.925,-53,-23,1023,671,-488,-915
2025-10-11 16:23:30.927,-52,-44,1028,-61,-366,-854
2025-10-11 16:23:30.972,-46,-49,1025,1159,244,-915
2025-10-11 16:23:30.972,-50,-40,1032,1281,183,-793
2025-10-11 16:23:31.021,-48,-44,1033,183,-610,-854
2025-10-11 16:23:31.021,-49,-52,1030,1220,0,-549
2025-10-11 16:23:31.022,-54,-44,1032,671,183,-244
2025-10-11 16:23:31.069,-50,-39,1029,-122,427,0
2025-10-11 16:23:31.070,-46,-47,1022,915,1220,671
2025-10-11 16:23:31.130,-61,-50,1015,2868,1037,-366
2025-10-11 16:23:31.130,-55,-37,1012,4333,915,0
2025-10-11 16:23:31.130,-53,-27,1005,549,-366,0
2025-10-11 16:23:31.175,-54,-45,1006,3051,-1159,-61
