timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:32:33.923,-161,22,1009,2624,1220,-1220
2025-10-11 16:32:33.923,-163,27,1003,2014,1037,-1220
2025-10-11 16:32:33.923,-162,24,1007,2014,305,-732
2025-10-11 16:32:33.964,-161,31,1005,1831,732,-671
2025-10-11 16:32:33.964,-165,29,999,2258,732,-1098
2025-10-11 16:32:34.061,-172,31,1001,2075,488,-793
2025-10-11 16:32:34.066,-166,31,1000,2624,-549,-1403
2025-10-11 16:32:34.067,-161,36,1000,2197,-244,-1037
2025-10-11 16:32:34.067,-171,37,1001,1770,-793,-1281
2025-10-11 16:32:34.109,-168,31,1001,1281,-854,-1647
2025-10-11 16:32:34.109,-173,30,997,1892,-1098,-1403
2025-10-11 16:32:34.111,-172,35,998,1831,-1098,-1098
2025-10-11 16:32:34.155,-171,38,997,732,-1342,-1586
2025-10-11 16:32:34.155,-172,30,998,549,-1647,-1586
2025-10-11 16:32:34.156,-170,25,1002,1220,-2075,-1159
2025-10-11 16:32:34.204,-165,31,999,366,-1953,-1220
2025-10-11 16:32:34.205,-157,24,998,-732,-1586,-1037
2025-10-11 16:32:34.253,-151,13,1002,-244,-1586,-854
2025-10-11 16:32:34.253,-151,15,1003,1281,-2136,-244
2025-10-11 16:32:34.254,-157,28,1017,2258,-3356,549
2025-10-11 16:32:34.303,-164,37,1032,2685,-4455,-61
2025-10-11 16:32:34.303,-140,46,1041,3723,-4638,-793
2025-10-11 16:32:34.351,-140,56,1055,1586,-2807,-1037
2025-10-11 16:32:34.351,-140,46,1056,-366,-122,-1464
2025-10-11 16:32:34.353,-131,26,1033,1647,1525,-793
2025-10-11 16:32:34.399,-146,35,1019,2807,1892,-244
2025-10-11 16:32:34.400,-154,48,1010,2258,1281,-427
2025-10-11 16:32:34.448,-145,50,1004,1403,854,-915
2025-10-11 16:32:34.448,-146,49,1006,1464,305,-2197
2025-10-11 16:32:34.497,-164,52,1005,610,-427,-2319
2025-10-11 16:32:34.497,-164,49,997,-549,183,-2136
2025-10-11 16:32:34.498,-158,38,999,-1037,1647,-2502
2025-10-11 16:32:34.545,-162,34,998,-793,1831,-2563
2025-10-11 16:32:34.546,-174,43,1001,-2136,-366,-2685
2025-10-11 16:32:34.604,-145,35,1014,-4821,-549,-2929
2025-10-11 16:32:34.604,-146,33,1019,-2746,122,-2807
2025-10-11 16:32:34.604,-157,49,1018,-1770,854,-2319
2025-10-11 16:32:34.643,-153,55,1007,-2502,1892,-2258
2025-10-11 16:32:34.643,-154,44,1007,-976,1098,-4455
2025-10-11 16:32:34.691,-179,38,998,1220,-915,-5981
2025-10-11 16:32:34.692,-170,37,996,854,-2807,-6652
2025-10-11 16:32:34.693,-149,32,1002,-2075,-2319,-6713
2025-10-11 16:32:34.740,-148,11,1015,-3173,-1953,-7629
2025-10-11 16:32:34.741,-152,-13,1021,-2258,-1708,-5493
2025-10-11 16:32:34.789,-157,-8,1012,915,-854,-4272
2025-10-11 16:32:34.790,-162,0,1024,-61,-732,-3112
2025-10-11 16:32:34.791,-174,13,1017,-1159,-793,-2929
2025-10-11 16:32:34.838,-159,16,1012,-4028,854,-2990
2025-10-11 16:32:34.839,-154,-1,1011,-3051,1953,-3845
2025-10-11 16:32:34.894,-158,-10,1011,-2136,1037,-3723
2025-10-11 16:32:34.894,-165,-3,994,-1831,-244,-3173
2025-10-11 16:32:34.936,-169,1,992,-2380,-915,-2136
2025-10-11 16:32:34.936,-162,-7,999,-488,-2014,-2014
2025-10-11 16:32:34.936,-158,0,1006,1403,-3356,-1403
2025-10-11 16:32:34.984,-154,-2,1007,2441,-2807,-671
2025-10-11 16:32:34.985,-139,-4,1006,4760,-1953,793
2025-10-11 16:32:35.033,-145,5,1011,5859,-1342,3112
2025-10-11 16:32:35.033,-150,23,1012,4577,-915,3601
2025-10-11 16:32:35.034,-154,43,1010,2868,-793,3112
2025-10-11 16:32:35.081,-151,42,1004,2502,-366,2441
2025-10-11 16:32:35.082,-161,39,1005,2563,-854,1586
2025-10-11 16:32:35.130,-168,43,1003,1098,-1892,1342
2025-10-11 16:32:35.131,-164,34,1007,366,-2624,1037
2025-10-11 16:32:35.132,-157,29,1007,244,-2746,915
2025-10-11 16:32:35.228,-135,20,1002,915,-2136,427
2025-10-11 16:32:35.230,-139,15,1007,1831,-2624,305
2025-10-11 16:32:35.230,-131,5,1019,2929,-4516,427
2025-10-11 16:32:35.276,-126,21,1021,2746,-5554,1098
2025-10-11 16:32:35.277,-117,29,1022,1586,-4760,793
2025-10-11 16:32:35.278,-118,25,1029,1098,-3356,549
2025-10-11 16:32:35.278,-121,23,1031,1037,-2258,122
2025-10-11 16:32:35.325,-128,29,1036,-183,-2075,915
2025-10-11 16:32:35.326,-131,36,1017,-1403,-1586,915
2025-10-11 16:32:35.374,-129,23,1013,-2868,61,1586
2025-10-11 16:32:35.374,-141,35,1008,-2990,305,2014
2025-10-11 16:32:35.375,-141,35,1016,-1831,-610,671
2025-10-11 16:32:35.423,-152,42,1019,-2075,-1464,427
2025-10-11 16:32:35.423,-143,42,1019,-3479,-1831,-671
2025-10-11 16:32:35.480,-138,23,1028,-3356,-2258,-1586
2025-10-11 16:32:35.480,-139,19,1029,-1831,-2319,-976
2025-10-11 16:32:35.480,-122,21,1025,-1159,-183,-549
2025-10-11 16:32:35.522,-130,23,1031,-793,549,-671
2025-10-11 16:32:35.522,-130,22,1030,-1647,122,-610
2025-10-11 16:32:35.569,-127,22,1027,-1586,-610,-1037
2025-10-11 16:32:35.569,-124,23,1024,-2807,0,-1403
2025-10-11 16:32:35.618,-130,19,1031,-3601,61,-1281
2025-10-11 16:32:35.618,-131,15,1025,-3723,427,-1098
2025-10-11 16:32:35.619,-125,15,1020,-3295,1708,-671
2025-10-11 16:32:35.716,-128,15,1013,-2929,2380,-1342
2025-10-11 16:32:35.772,-136,4,1012,-1892,1647,-1770
2025-10-11 16:32:35.772,-141,12,1005,-1586,488,-915
2025-10-11 16:32:35.772,-138,17,1000,-2929,305,-1037
2025-10-11 16:32:35.772,-133,8,1002,-3234,183,-1464
2025-10-11 16:32:35.773,-137,7,1001,-3234,183,-1586
2025-10-11 16:32:35.773,-145,17,1001,-3356,0,-1525
2025-10-11 16:32:35.818,-139,15,1003,-4882,549,-1647
2025-10-11 16:32:35.818,-143,13,993,-4211,793,-2441
2025-10-11 16:32:35.818,-148,7,994,-5432,0,-2807
2025-10-11 16:32:35.910,-139,-1,995,-6469,-1098,-3051
2025-10-11 16:32:35.911,-138,-8,1003,-5615,-2319,-3112
2025-10-11 16:32:35.911,-134,0,1007,-7263,-2441,-2990
2025-10-11 16:32:35.912,-124,-21,1020,-6835,-1953,-3356
2025-10-11 16:32:35.959,-121,-30,1028,-4760,-1770,-3051
2025-10-11 16:32:35.960,-131,-14,1022,-2990,-1220,-2502
2025-10-11 16:32:35.960,-131,-39,1032,-2807,-2075,-3845
2025-10-11 16:32:36.008,-132,-50,1040,2441,-3662,-3112
2025-10-11 16:32:36.008,-117,-10,1029,4638,-2624,-2380
2025-10-11 16:32:36.009,-117,5,1025,-61,671,-2624
2025-10-11 16:32:36.057,-138,-22,1035,-2807,1220,-2868
2025-10-11 16:32:36.057,-128,-44,1032,-854,-61,-1953
2025-10-11 16:32:36.109,-116,-32,1025,1220,-427,-1220
2025-10-11 16:32:36.110,-117,-19,1028,366,-61,-1953
2025-10-11 16:32:36.155,-110,-24,1022,-1831,1586,-1525
2025-10-11 16:32:36.155,-127,-41,1022,-183,1831,-305
2025-10-11 16:32:36.157,-128,-26,1017,-610,2136,-427
2025-10-11 16:32:36.203,-138,-19,1014,-1098,1953,61
2025-10-11 16:32:36.204,-136,-14,1015,-671,1708,-61
2025-10-11 16:32:36.252,-136,-9,1021,-793,1098,-915
2025-10-11 16:32:36.252,-140,-14,1023,-854,488,-1892
2025-10-11 16:32:36.253,-128,-19,1015,-366,1220,-1831
2025-10-11 16:32:36.300,-133,-18,1010,427,1647,-1586
2025-10-11 16:32:36.301,-137,-17,1019,-1281,1342,-1220
2025-10-11 16:32:36.349,-135,-31,1016,0,61,-2319
2025-10-11 16:32:36.349,-132,-34,1013,854,122,-2319
2025-10-11 16:32:36.398,-140,-26,1005,-122,488,-1403
2025-10-11 16:32:36.398,-142,-29,1009,-1220,122,-1464
2025-10-11 16:32:36.407,-136,-35,1004,-671,244,-1342
2025-10-11 16:32:36.448,-140,-41,1007,1525,-61,-1586
2025-10-11 16:32:36.449,-150,-28,1013,1708,-976,-1098
2025-10-11 16:32:36.496,-134,-20,1010,244,0,-1159
2025-10-11 16:32:36.497,-141,-28,1010,-1159,854,-1342
2025-10-11 16:32:36.497,-141,-47,1015,-732,488,-976
2025-10-11 16:32:36.544,-141,-47,1013,1342,-793,-183
2025-10-11 16:32:36.545,-137,-34,1011,1037,-793,671
2025-10-11 16:32:36.641,-134,-33,1011,427,0,793
2025-10-11 16:32:36.671,-137,-32,1020,1037,0,793
2025-10-11 16:32:36.671,-140,-30,1024,549,-549,610
2025-10-11 16:32:36.671,-136,-28,1014,366,183,793
2025-10-11 16:32:36.698,-136,-25,1009,183,1464,1159
2025-10-11 16:32:36.699,-145,-24,1010,61,1281,1403
2025-10-11 16:32:36.699,-141,-21,1010,488,-61,549
2025-10-11 16:32:36.740,-139,-19,1007,1953,-1037,-122
2025-10-11 16:32:36.740,-138,-10,1013,2075,-1464,-305
2025-10-11 16:32:36.741,-133,-7,1018,-244,-549,-1403
2025-10-11 16:32:36.788,-130,-31,1017,366,-122,-854
2025-10-11 16:32:36.789,-135,-28,1020,1464,-549,-305
2025-10-11 16:32:36.836,-133,-16,1018,1037,-671,-244
2025-10-11 16:32:36.837,-126,-16,1014,671,183,-854
2025-10-11 16:32:36.838,-133,-23,1015,488,183,-1586
2025-10-11 16:32:36.885,-141,-29,1016,305,-976,-1281
2025-10-11 16:32:36.886,-135,-31,1015,1037,-1464,-1037
2025-10-11 16:32:36.934,-131,-27,1015,1342,-671,-488
2025-10-11 16:32:36.935,-136,-23,1018,671,183,-610
2025-10-11 16:32:36.936,-140,-27,1022,366,-15625,-732
2025-10-11 16:32:36.988,-138,-30,1013,854,122,-610
2025-10-11 16:32:36.988,-130,-28,1012,427,549,-671
2025-10-11 16:32:37.037,-137,-36,1015,-549,0,-671
2025-10-11 16:32:37.037,-135,-46,1018,610,-610,61
2025-10-11 16:32:37.037,-132,-33,1018,1403,-549,610
2025-10-11 16:32:37.080,-133,-24,1018,976,488,305
2025-10-11 16:32:37.082,-135,-29,1017,488,854,305
2025-10-11 16:32:37.129,-139,-28,1015,671,671,488
2025-10-11 16:32:37.130,-142,-25,1016,549,122,244
2025-10-11 16:32:37.178,-143,-27,1016,366,-671,793
2025-10-11 16:32:37.178,-136,-26,1018,0,-122,1403
2025-10-11 16:32:37.179,-137,-33,1024,-854,61,1708
2025-10-11 16:32:37.277,-132,-42,1021,549,244,1708
2025-10-11 16:32:37.277,-134,-27,1017,2075,244,2075
2025-10-11 16:32:37.278,-133,-6,1007,0,1037,1586
2025-10-11 16:32:37.280,-141,-20,1004,-366,793,1342
2025-10-11 16:32:37.326,-141,-20,1003,-305,61,1403
2025-10-11 16:32:37.326,-138,-19,1003,915,-732,854
2025-10-11 16:32:37.326,-137,-13,1004,1098,-1159,549
2025-10-11 16:32:37.421,-138,-11,1009,122,-854,244
2025-10-11 16:32:37.423,-134,-16,1011,915,-366,0
2025-10-11 16:32:37.423,-136,-16,1013,854,-305,-244
2025-10-11 16:32:37.423,-136,-21,1014,915,-1159,-244
2025-10-11 16:32:37.470,-133,-20,1017,976,-1525,0
2025-10-11 16:32:37.471,-132,-20,1020,610,-1281,-61
2025-10-11 16:32:37.471,-131,-22,1020,1037,-610,0
2025-10-11 16:32:37.472,-136,-17,1023,1159,-366,427
2025-10-11 16:32:37.519,-135,-10,1026,366,-549,183
2025-10-11 16:32:37.520,-130,-12,1026,122,-366,-671
2025-10-11 16:32:37.570,-137,-16,1023,244,-366,-549
2025-10-11 16:32:37.570,-134,-15,1024,122,-427,-122
2025-10-11 16:32:37.617,-130,-18,1024,122,-244,-183
2025-10-11 16:32:37.617,-135,-23,1025,1525,-366,-976
2025-10-11 16:32:37.618,-134,-16,1020,1770,-305,-976
2025-10-11 16:32:37.665,-133,-10,1022,1525,-915,-1586
2025-10-11 16:32:37.666,-129,-13,1018,427,-1220,-1831
2025-10-11 16:32:37.714,-129,-21,1016,-183,-1342,-1770
2025-10-11 16:32:37.715,-131,-27,1015,549,-1342,-1342
2025-10-11 16:32:37.715,-129,-22,1016,1159,-1037,-793
2025-10-11 16:32:37.763,-135,-14,1014,1098,-1159,-1525
2025-10-11 16:32:37.763,-130,-11,1013,-549,-1281,-1708
2025-10-11 16:32:37.811,-133,-19,1007,-244,-2136,-2380
2025-10-11 16:32:37.812,-128,-28,1004,61,-1770,-2075
2025-10-11 16:32:37.813,-129,-34,1007,793,-1403,-1647
2025-10-11 16:32:37.861,-132,-33,1006,1525,-1525,-1037
2025-10-11 16:32:37.861,-127,-26,1005,1525,-1220,-427
2025-10-11 16:32:37.910,-130,-22,1009,1708,-1220,-915
2025-10-11 16:32:37.911,-132,-19,1004,1281,-1098,-671
2025-10-11 16:32:37.912,-134,-22,1008,549,-1220,-549
2025-10-11 16:32:37.958,-128,-26,1014,671,-1708,-488
2025-10-11 16:32:37.959,-130,-17,1013,-61,-1586,-610
2025-10-11 16:32:38.006,-123,-24,1012,-183,-610,-854
2025-10-11 16:32:38.007,-128,-30,1018,671,-976,-305
2025-10-11 16:32:38.055,-127,-29,1022,732,-1892,183
2025-10-11 16:32:38.056,-119,-20,1022,1342,-1708,610
2025-10-11 16:32:38.056,-120,-9,1026,976,-427,549
2025-10-11 16:32:38.104,-123,-8,1028,-305,244,-305
2025-10-11 16:32:38.105,-123,-21,1030,-305,-183,-610
2025-10-11 16:32:38.202,-123,-27,1036,61,-1342,-610
2025-10-11 16:32:38.202,-127,-30,1045,732,-2563,-854
2025-10-11 16:32:38.203,-122,-31,1059,-305,-1953,-1281
2025-10-11 16:32:38.203,-98,-47,1039,1464,671,-305
2025-10-11 16:32:38.250,-114,-53,1030,2014,2990,1281
2025-10-11 16:32:38.251,-126,-51,1011,3540,3356,2807
2025-10-11 16:32:38.252,-137,-33,1006,6408,1525,3906
2025-10-11 16:32:38.252,-132,10,997,4455,1037,3234
2025-10-11 16:32:38.299,-131,11,999,2563,793,1403
2025-10-11 16:32:38.299,-128,5,997,610,1037,854
2025-10-11 16:32:38.348,-128,-10,999,793,854,-61
2025-10-11 16:32:38.349,-128,-13,997,2075,183,1342
2025-10-11 16:32:38.350,-121,-6,1000,2380,183,854
2025-10-11 16:32:38.397,-118,5,1000,427,915,732
2025-10-11 16:32:38.398,-129,0,1002,549,-122,366
2025-10-11 16:32:38.454,-127,0,1011,1220,-1098,244
