timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:14:58.220,85,-53,1023,-366,-1220,0
2025-10-11 16:14:58.221,89,-45,1018,427,-1342,-183
2025-10-11 16:14:58.222,92,-43,1020,-488,183,183
2025-10-11 16:14:58.269,88,-49,1028,-1342,610,0
2025-10-11 16:14:58.269,87,-61,1032,549,-671,-854
2025-10-11 16:14:58.323,91,-47,1022,1953,-671,-915
2025-10-11 16:14:58.323,91,-47,1023,427,0,-671
2025-10-11 16:14:58.323,92,-53,1020,244,610,-610
2025-10-11 16:14:58.380,84,-53,1017,671,0,-793
2025-10-11 16:14:58.381,89,-58,1011,1770,-549,-610
2025-10-11 16:14:58.415,87,-52,1012,1525,-244,-732
2025-10-11 16:14:58.420,86,-47,1010,427,-854,-610
2025-10-11 16:14:58.463,87,-44,1000,-1098,-1037,-671
2025-10-11 16:14:58.464,87,-39,986,-3601,-122,-793
2025-10-11 16:14:58.465,83,-48,985,-6530,-183,-671
2025-10-11 16:14:58.512,83,-65,1002,-5310,-2258,-976
2025-10-11 16:14:58.512,89,-67,1012,-1831,-4028,-1831
2025-10-11 16:14:58.561,98,-52,1010,-1770,-2807,-1953
2025-10-11 16:14:58.561,94,-45,1009,-4272,-793,-1464
2025-10-11 16:14:58.562,87,-65,1013,-4028,-1403,-610
2025-10-11 16:14:58.609,91,-71,1019,-2624,-2746,183
2025-10-11 16:14:58.610,100,-64,1029,427,-2746,-427
2025-10-11 16:14:58.709,96,-51,1031,1342,-1831,-915
2025-10-11 16:14:58.710,95,-53,1039,1525,-2197,-2197
2025-10-11 16:14:58.710,99,-56,1034,1464,-2807,-2624
2025-10-11 16:14:58.755,105,-67,1039,732,-2258,-2319
2025-10-11 16:14:58.756,109,-75,1043,427,-1403,-1831
2025-10-11 16:14:58.756,108,-72,1036,-122,61,-1037
2025-10-11 16:14:58.758,107,-80,1032,-122,488,-427
2025-10-11 16:14:58.804,101,-74,1026,1525,61,-183
2025-10-11 16:14:58.805,97,-66,1026,976,-671,-610
2025-10-11 16:14:58.805,103,-68,1026,671,-610,-671
2025-10-11 16:14:58.853,104,-73,1027,915,-183,-1037
2025-10-11 16:14:58.854,99,-67,1021,122,-244,-244
2025-10-11 16:14:58.902,96,-72,1026,-1831,122,305
2025-10-11 16:14:58.902,98,-83,1034,0,915,732
2025-10-11 16:14:58.903,99,-62,1023,671,1098,610
2025-10-11 16:14:58.956,95,-56,1019,-1159,1403,976
2025-10-11 16:14:58.957,95,-65,1020,-1586,549,610
2025-10-11 16:14:59.000,96,-66,1019,-61,122,610
2025-10-11 16:14:59.000,95,-59,1021,0,915,1159
2025-10-11 16:14:59.002,100,-56,1025,0,1098,427
2025-10-11 16:14:59.048,98,-56,1020,-671,1159,-122
2025-10-11 16:14:59.049,95,-42,1020,-3479,976,0
2025-10-11 16:14:59.097,98,-52,1021,-6713,1342,-244
2025-10-11 16:14:59.097,97,-75,1022,-5676,1953,-671
2025-10-11 16:14:59.098,92,-85,1018,-2685,1342,-732
2025-10-11 16:14:59.146,91,-76,1016,-671,366,-610
2025-10-11 16:14:59.147,95,-67,1009,-1892,915,-671
2025-10-11 16:14:59.215,89,-75,1013,-4394,1403,-122
2025-10-11 16:14:59.215,90,-98,1019,-1770,793,-183
2025-10-11 16:14:59.244,88,-92,1011,-549,-183,-183
2025-10-11 16:14:59.245,88,-92,1010,-854,-732,244
2025-10-11 16:14:59.245,92,-88,1014,-610,61,976
2025-10-11 16:14:59.292,93,-82,1016,-1098,1281,976
2025-10-11 16:14:59.293,84,-80,1016,-1403,854,549
2025-10-11 16:14:59.341,82,-86,1015,-122,-976,183
2025-10-11 16:14:59.342,88,-84,1016,1281,-1464,366
2025-10-11 16:14:59.342,94,-74,1020,1220,-671,610
2025-10-11 16:14:59.389,92,-65,1022,-976,549,427
2025-10-11 16:14:59.390,93,-75,1026,-427,305,-244
2025-10-11 16:14:59.438,89,-74,1021,-610,-732,-671
2025-10-11 16:14:59.439,96,-83,1023,-61,-1037,-427
2025-10-11 16:14:59.440,96,-69,1026,549,61,-610
2025-10-11 16:14:59.501,95,-71,1025,-915,732,-671
2025-10-11 16:14:59.501,96,-75,1015,-1586,610,-549
2025-10-11 16:14:59.545,98,-68,1005,-2502,793,-61
2025-10-11 16:14:59.545,97,-46,996,-6469,1464,-61
2025-10-11 16:14:59.585,90,-44,1003,-10620,1342,-488
2025-10-11 16:14:59.586,90,-67,1017,-9704,-183,-2502
2025-10-11 16:14:59.586,96,-95,1032,-5981,-671,-3479
2025-10-11 16:14:59.633,99,-93,1027,-4455,366,-3295
2025-10-11 16:14:59.634,102,-97,1018,-6042,1708,-3417
2025-10-11 16:14:59.682,83,-111,1010,-8300,1647,-2929
2025-10-11 16:14:59.683,84,-147,1015,-6652,0,-2075
2025-10-11 16:14:59.683,92,-153,1014,-1708,183,-1953
2025-10-11 16:14:59.730,82,-144,1016,1281,-488,-1708
2025-10-11 16:14:59.731,86,-135,1020,2746,-671,-976
2025-10-11 16:14:59.788,84,-122,1024,2380,-854,-854
2025-10-11 16:14:59.788,87,-121,1022,1525,-183,-366
2025-10-11 16:14:59.788,85,-116,1017,1464,427,0
2025-10-11 16:14:59.835,85,-113,1016,854,183,183
2025-10-11 16:14:59.836,88,-111,1013,244,-244,-61
2025-10-11 16:14:59.878,86,-116,1012,976,-610,-61
2025-10-11 16:14:59.878,94,-108,1011,1464,-427,183
2025-10-11 16:14:59.879,91,-95,1013,732,183,-122
2025-10-11 16:14:59.926,88,-97,1016,-915,-122,-122
2025-10-11 16:14:59.926,95,-102,1020,-488,-244,-183
2025-10-11 16:14:59.974,94,-98,1021,-549,183,-671
2025-10-11 16:14:59.975,96,-105,1013,-244,671,-854
2025-10-11 16:15:00.023,94,-110,1013,305,610,-671
2025-10-11 16:15:00.023,92,-102,1009,-610,244,-488
2025-10-11 16:15:00.024,93,-111,1014,-976,-61,-976
2025-10-11 16:15:00.078,94,-112,1013,0,-244,-1037
2025-10-11 16:15:00.078,93,-107,1015,-366,488,-854
2025-10-11 16:15:00.121,87,-115,1014,-1037,122,-488
2025-10-11 16:15:00.125,88,-113,1012,-610,-427,-305
2025-10-11 16:15:00.125,88,-113,1019,183,-610,-427
2025-10-11 16:15:00.169,88,-108,1023,-244,-183,-976
2025-10-11 16:15:00.170,84,-119,1022,915,-183,-1220
2025-10-11 16:15:00.218,89,-115,1007,671,-244,61
2025-10-11 16:15:00.219,93,-116,1017,-427,0,610
2025-10-11 16:15:00.219,89,-117,1022,366,0,366
2025-10-11 16:15:00.267,88,-109,1014,610,-549,183
2025-10-11 16:15:00.268,91,-107,1013,183,-244,549
2025-10-11 16:15:00.315,89,-102,1018,-488,0,183
