timestamp (AEST),ax,ay,az,gx,gy,gz
2025-10-11 16:12:30.165,-40,59,995,-1831,1464,2014
2025-10-11 16:12:30.165,-52,64,998,-4760,1647,1342
2025-10-11 16:12:30.213,-55,45,1008,-3723,-183,1037
2025-10-11 16:12:30.213,-50,49,1008,-1159,-2136,366
2025-10-11 16:12:30.215,-46,71,1007,-2197,-2807,-183
2025-10-11 16:12:30.262,-46,47,1030,-2929,-2807,61
2025-10-11 16:12:30.263,-33,48,1037,-1525,-1831,-122
2025-10-11 16:12:30.311,-25,60,1031,-2319,-244,-366
2025-10-11 16:12:30.312,-31,55,1033,-3906,0,61
2025-10-11 16:12:30.312,-32,29,1036,-2502,-915,122
2025-10-11 16:12:30.360,-30,30,1034,793,-1525,122
2025-10-11 16:12:30.361,-26,56,1028,366,-1037,183
2025-10-11 16:12:30.409,-27,61,1028,-2014,366,0
2025-10-11 16:12:30.409,-38,51,1040,-2685,305,-488
2025-10-11 16:12:30.456,-35,30,1043,15319,-671,-1342
2025-10-11 16:12:30.457,-33,49,1031,610,-427,-1281
2025-10-11 16:12:30.458,-34,42,1034,-732,0,-854
2025-10-11 16:12:30.505,-34,36,1033,-1770,549,-793
2025-10-11 16:12:30.506,-34,39,1026,-2136,1464,-610
2025-10-11 16:12:30.554,-40,30,1024,-2136,1220,-915
2025-10-11 16:12:30.555,-44,28,1025,-488,61,-488
2025-10-11 16:12:30.556,-39,35,1021,-183,244,-244
2025-10-11 16:12:30.602,-33,39,1021,-915,1159,-244
2025-10-11 16:12:30.603,-40,43,1024,-2685,1159,-671
2025-10-11 16:12:30.658,-39,31,1021,-3906,427,-549
2025-10-11 16:12:30.658,-37,17,1025,-2868,427,-305
2025-10-11 16:12:30.658,-43,26,1024,-2929,610,61
2025-10-11 16:12:30.701,-43,39,1027,-5187,854,549
2025-10-11 16:12:30.703,-37,31,1028,-6835,1464,366
2025-10-11 16:12:30.749,-50,4,1041,-5371,854,122
2025-10-11 16:12:30.749,-40,-7,1051,-1403,-305,915
2025-10-11 16:12:30.798,-28,-1,1042,793,610,1281
2025-10-11 16:12:30.798,-24,9,1019,-1464,3356,1159
2025-10-11 16:12:30.799,-34,-3,1005,-3295,5065,2502
2025-10-11 16:12:30.847,-62,-4,1012,-2136,854,3601
2025-10-11 16:12:30.847,-49,20,1008,976,-1220,2136
2025-10-11 16:12:30.895,-51,33,1008,1342,-1281,549
2025-10-11 16:12:30.897,-52,29,1010,1037,-854,183
2025-10-11 16:12:30.898,-49,26,1018,854,-732,-488
2025-10-11 16:12:30.951,-49,27,1026,732,-1892,-488
